Title,Description,ShortDetails,Identifiers,EntrezUID
Laparoscopic Distal Pancreatectomy for Left-Sided Pancreatic Cancer Using the "Caudo-Dorsal Artery First Approach".,"Ome Y, Seyama Y, Doi M, Muto J.",Ann Surg Oncol.  2019,PMID:31502021,31502021
Long-term oncologic outcomes of laparoscopic versus open resection following stent insertion for obstructing colon cancer: a multi-center retrospective study.,"Bae SU, Yang CS, Kim S, Lim DR, Jeong WK, Dong Kim D, Kim JH, Shin EJ, Lee YJ, Lee JY, Kim NK, Baek SK.",Surg Endosc.  2019,PMID:30701364,30701364
Negative Hyperselection of Patients With RAS and BRAF Wild-Type Metastatic Colorectal Cancer Who Received Panitumumab-Based Maintenance Therapy.,"Morano F, Corallo S, Lonardi S, Raimondi A, Cremolini C, Rimassa L, Murialdo R, Zaniboni A, Sartore-Bianchi A, Tomasello G, Racca P, Clavarezza M, Adamo V, Perrone F, Gloghini A, Tamborini E, Busico A, Martinetti A, Palermo F, Loupakis F, Milione M, Fucà G, et al.",J Clin Oncol.  2019,PMID:31539295 | PMCID:PMC6864846,31539295
Serum extracellular vesicles contain SPARC and LRG1 as biomarkers of colon cancer and differ by tumour primary location.,"Zhong ME, Chen Y, Xiao Y, Xu L, Zhang G, Lu J, Qiu H, Ge W, Wu B.",EBioMedicine.  2019,PMID:31753726,31753726
Right Colectomy with Extended D3 Mesenterectomy: Anterior and Posterior to the Mesenteric Vessels.,"Nesgaar JM, Stimec BV, Bakka AO, Edwin B, Bergamaschi R, Ignjatovic D.",Surg Technol Int.  2019,PMID:31237343,31237343
[(89)Zr]Zr-cetuximab PET/CT as biomarker for cetuximab monotherapy in patients with RAS wild-type advanced colorectal cancer.,"van Helden EJ, Elias SG, Gerritse SL, van Es SC, Boon E, Huisman MC, van Grieken NCT, Dekker H, van Dongen GAMS, Vugts DJ, Boellaard R, van Herpen CML, de Vries EGE, Oyen WJG, Brouwers AH, Verheul HMW, Hoekstra OS, Menke-van der Houven van Oordt CW.",Eur J Nucl Med Mol Imaging.  2019,PMID:31705176,31705176
Metastatic patterns and survival outcomes in patients with stage IV colon cancer: A population-based analysis.,"Wang J, Li S, Liu Y, Zhang C, Li H, Lai B.",Cancer Med.  2019,PMID:31693304,31693304
Operative safety and oncologic outcomes in rectal cancer based on the level of inferior mesenteric artery ligation: a stratified analysis of a large Korean cohort.,"AlSuhaimi MA, Yang SY, Kang JH, AlSabilah JF, Hur H, Kim NK.",Ann Surg Treat Res.  2019,PMID:31742210 | PMCID:PMC6848010,31742210
5-year outcome after complete mesocolic excision for right-sided colon cancer: a population-based cohort study.,"Bertelsen CA, Neuenschwander AU, Jansen JE, Tenma JR, Wilhelmsen M, Kirkegaard-Klitbo A, Iversen ER, Bols B, Ingeholm P, Rasmussen LA, Jepsen LV, Born PW, Kristensen B, Kleif J.",Lancet Oncol.  2019,PMID:31526695,31526695
Primary tumor location and the prognosis of patients after local treatment of colorectal liver metastases: a systematic review and meta-analysis.,"Buisman FE, Galjart B, Buettner S, Groot Koerkamp B, Grünhagen DJ, Verhoef C.",HPB (Oxford).  2019,PMID:31668753,31668753
