Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Prognosis and clinical characteristics of colorectal cancer patients with KRAS gene mutation: a 5-year follow-up study.","/pubmed/31933846","Yang D, Lai X, Xu F, Li Y, Jiang W, Ma D.","Int J Clin Exp Pathol. 2019 Feb 1;12(2):409-418. eCollection 2019.","Int J Clin Exp Pathol.  2019","PubMed","citation","PMID:31933846 | PMCID:PMC6945095","pubmed","31933846","create date:2020/01/15 | first author:Yang D",
"Impact of Single-organ Metastasis to the Liver or Lung and Genetic Mutation Status on Prognosis in Stage IV Colorectal Cancer.","/pubmed/31899147","Cavallaro P, Bordeianou L, Stafford C, Clark J, Berger D, Cusack J, Kunitake H, Francone T, Ricciardi R.","Clin Colorectal Cancer. 2019 Dec 10. pii: S1533-0028(19)30482-7. doi: 10.1016/j.clcc.2019.12.001. [Epub ahead of print]","Clin Colorectal Cancer.  2019","PubMed","citation","PMID:31899147","pubmed","31899147","create date:2020/01/04 | first author:Cavallaro P",
"Coaltered Ras/B-raf and TP53 Is Associated with Extremes of Survivorship and Distinct Patterns of Metastasis in Patients with Metastatic Colorectal Cancer.","/pubmed/31719050","Datta J, Smith JJ, Chatila WK, McAuliffe JC, Kandoth C, Vakiani E, Frankel TL, Ganesh K, Wasserman I, Lipsyc-Sharf M, Guillem J, Nash GM, Paty PB, Weiser MR, Saltz LB, Berger MF, Jarnagin WR, Balachandran V, Kingham TP, Kemeny NE, Cercek A, Garcia-Aguilar J, et al.","Clin Cancer Res. 2019 Nov 12. doi: 10.1158/1078-0432.CCR-19-2390. [Epub ahead of print]","Clin Cancer Res.  2019","PubMed","citation","PMID:31719050","pubmed","31719050","create date:2019/11/14 | first author:Datta J",
"Use of perioperative chemotherapy in colorectal cancer metastatic to the liver.","/pubmed/31687149","Symonds LK, Cohen SA.","Gastroenterol Rep (Oxf). 2019 Aug 21;7(5):301-311. doi: 10.1093/gastro/goz035. eCollection 2019 Oct. Review.","Gastroenterol Rep (Oxf).  2019","PubMed","citation","PMID:31687149 | PMCID:PMC6821343","pubmed","31687149","create date:2019/11/07 | first author:Symonds LK",
"RAS mutation: site of disease and recurrence pattern in colorectal cancer.","/pubmed/31597436","Bonnot PE, Passot G.","Chin Clin Oncol. 2019 Oct;8(5):55. doi: 10.21037/cco.2019.08.11.","Chin Clin Oncol.  2019","PubMed","citation","PMID:31597436","pubmed","31597436","create date:2019/10/11 | first author:Bonnot PE",
"The association of KRAS mutation with primary tumor location and survival in patients undergoing resection of colorectal cancers and synchronous liver metastases.","/pubmed/31500429","Allievi N, Goffredo P, Utria AF, Pisano M, Poiasina E, Lucianetti A, Zhou P, Hassan I.","Chin Clin Oncol. 2019 Oct;8(5):46. doi: 10.21037/cco.2019.08.10. Epub 2019 Sep 2.","Chin Clin Oncol.  2019","PubMed","citation","PMID:31500429","pubmed","31500429","create date:2019/09/11 | first author:Allievi N",
"Combination chemotherapy with TAS-102 plus bevacizumab in salvage-line treatment of metastatic colorectal cancer: A single-center, retrospective study examining the prognostic value of the modified Glasgow Prognostic Score in salvage-line therapy of metastatic colorectal cancer.","/pubmed/31475067","Matsuhashi N, Takahashi T, Fujii H, Suetsugu T, Fukada M, Iwata Y, Tokumaru Y, Imai T, Mori R, Tanahashi T, Matsui S, Imai H, Tanaka Y, Yamaguchi K, Futamura M, Yoshida K.","Mol Clin Oncol. 2019 Oct;11(4):390-396. doi: 10.3892/mco.2019.1899. Epub 2019 Jul 18.","Mol Clin Oncol.  2019","PubMed","citation","PMID:31475067 | PMCID:PMC6713946","pubmed","31475067","create date:2019/09/03 | first author:Matsuhashi N",
"Timing of Perioperative Chemotherapy Does Not Influence Long-Term Outcome of Patients Undergoing Combined Laparoscopic Colorectal and Liver Resection in Selected Upfront Resectable Synchronous Liver Metastases.","/pubmed/31451846","Ratti F, Fuks D, Cipriani F, Gayet B, Aldrighetti L.","World J Surg. 2019 Dec;43(12):3110-3119. doi: 10.1007/s00268-019-05142-4.","World J Surg.  2019","PubMed","citation","PMID:31451846","pubmed","31451846","create date:2019/08/28 | first author:Ratti F",
"Prognostic impact of K-RAS mutational status and primary tumor location in patients undergoing resection for colorectal cancer liver metastases: an update.","/pubmed/31426677","O Connor JM, Sanchez Loria F, Ardiles V, Grondona J, Sanchez P, Andriani O, Fauda M, Brancato F, Huertas E, Alvarez F, de Santibañes E.","Future Oncol. 2019 Sep;15(27):3149-3157. doi: 10.2217/fon-2019-0196. Epub 2019 Aug 20.","Future Oncol.  2019","PubMed","citation","PMID:31426677","pubmed","31426677","create date:2019/08/21 | first author:O Connor JM",
"Lung Metastasis Predicts Better Prognosis in Metastatic Colorectal Cancer With Mutated KRAS.","/pubmed/31324478","Margalit O, Shacham-Shmueli E, Lawrence YR, Yang YX, Reiss KA, Golan T, Mamtani R, Halpern N, Aderka D, Giantonio B, Boursi B.","Clin Colorectal Cancer. 2019 Sep;18(3):e300-e307. doi: 10.1016/j.clcc.2019.06.001. Epub 2019 Jun 26.","Clin Colorectal Cancer.  2019","PubMed","citation","PMID:31324478","pubmed","31324478","create date:2019/07/22 | first author:Margalit O",
"Malignant phyllodes tumor in Lynch syndrome: a case report.","/pubmed/31307558","Kazmi S, Wagner S, Heintzelman R, Corbman M.","J Med Case Rep. 2019 Jul 16;13(1):216. doi: 10.1186/s13256-019-2138-0.","J Med Case Rep.  2019","PubMed","citation","PMID:31307558 | PMCID:PMC6631613","pubmed","31307558","create date:2019/07/17 | first author:Kazmi S",
"Prognostic and predictive markers in liver limited stage IV colorectal cancer.","/pubmed/31279594","Rehman AH, Jones RP, Poston G.","Eur J Surg Oncol. 2019 Dec;45(12):2251-2256. doi: 10.1016/j.ejso.2019.06.038. Epub 2019 Jun 27. Review.","Eur J Surg Oncol.  2019","PubMed","citation","PMID:31279594","pubmed","31279594","create date:2019/07/08 | first author:Rehman AH",
"Prospective Biomarker Study in Advanced RAS Wild-Type Colorectal Cancer: POSIBA Trial (GEMCAD 10-02).","/pubmed/31235483","García-Albéniz X, Alonso V, Escudero P, Méndez M, Gallego J, Rodríguez JR, Salud A, Fernández-Plana J, Manzano H, Zanui M, Falcó E, Feliu J, Gil M, Fernández-Martos C, Bohn U, Alonso C, Calderero V, Rojo F, Cuatrecasas M, Maurel J.","Oncologist. 2019 Nov;24(11):e1115-e1122. doi: 10.1634/theoncologist.2018-0728. Epub 2019 Jun 24.","Oncologist.  2019","PubMed","citation","PMID:31235483 | PMCID:PMC6853109","pubmed","31235483","create date:2019/06/27 | first author:García-Albéniz X",
"[Case of Hyperammonemia Induced by High-Dose Fluorouracil].","/pubmed/31189842","Hagiwara A, Abe M, Mafune K, Saito M, Kusakabe A.","Gan To Kagaku Ryoho. 2019 May;46(Suppl 1):147-149. Japanese. ","Gan To Kagaku Ryoho.  2019","PubMed","citation","PMID:31189842","pubmed","31189842","create date:2019/06/14 | first author:Hagiwara A",
"[Long-Term Effectiveness of Chemotherapy Containing mFOLFOX6 plus Panitumumab and 5-FU/l-LV plus Panitumumab after Primary Tumor Resection in a Case of Ascending Colon Carcinoma and Multiple Hepatic Metastases].","/pubmed/31164512","Kitahama T, Gomyo Y, Okada I, Akita N, Ikeno T, Miyamoto H.","Gan To Kagaku Ryoho. 2019 Apr;46(4):709-712. Japanese. ","Gan To Kagaku Ryoho.  2019","PubMed","citation","PMID:31164512","pubmed","31164512","create date:2019/06/06 | first author:Kitahama T",
"Primary tumour location affects survival after resection of colorectal liver metastases: A two-institutional cohort study with international validation, systematic meta-analysis and a clinical risk score.","/pubmed/31150437","Gasser E, Braunwarth E, Riedmann M, Cardini B, Fadinger N, Presl J, Klieser E, Ellmerer P, Dupré A, Imai K, Malik H, Baba H, Ulmer H, Schneeberger S, Öfner D, Dinnewitzer A, Stättner S, Primavesi F.","PLoS One. 2019 May 31;14(5):e0217411. doi: 10.1371/journal.pone.0217411. eCollection 2019.","PLoS One.  2019","PubMed","citation","PMID:31150437 | PMCID:PMC6544347","pubmed","31150437","create date:2019/06/01 | first author:Gasser E",
