Time,OS,OS.Diff,,,39,,0.025641026
2.525959975,0.978118078,0.012829541,0,,,,
5.900820732,0.965288537,0.023648865,0,,,,
6.313363465,0.941639672,0.025505435,0,,,,
7.992727366,0.916134236,0.016389035,0,,,,
8.830872844,0.899745202,0.027349202,0,,,,
11.35452811,0.872396,0.081919566,2,2,33,,
14.7001959,0.790476434,0.025505435,0,,,,
16.3795598,0.764970999,0.016491466,0,,,,
20.59794369,0.748479533,0.071215477,2,4,28,,
30.70869771,0.677264056,0.02916736,0,,,,
33.23158474,0.648096695,0.131432376,4,8,22,,
50.4999936,0.516664319,0.032778069,0,,,,
52.17628455,0.48388625,0.032803677,0,,,,
54.69763511,0.451082573,0.038629467,1,,,,
69.4700452,0.412453106,0.053430814,1,,,,
92.68690542,0.359022292,0.049359163,1,,,,
101.5392889,0.309663129,0.080511133,2,,,,
118.4066785,0.229151995,0.229151995,8,,,,
