Time,OS,OS.Diff,,,41,,0.024390244
1.258370571,0.97815649,0.02574871,0,,,,
10.96580069,0.95240778,0.023700081,0,0,40,,
13.06846263,0.928707699,0.0491543,1,,,,
15.16036927,0.879553399,0.050972459,1,,,,
17.25150766,0.82858094,0.023648865,0,,,,
17.6640504,0.804932075,0.023687277,0,,,,
19.34418253,0.781244798,0.016401839,0,,,,
20.60485781,0.76484296,0.014558072,0,,,,
21.02124173,0.750284888,0.021881922,0,,,,
23.1246719,0.728402965,0.029128948,0,2,32,,
24.37996953,0.699274017,0.049243928,1,,,,
29.42958477,0.650030089,0.027285182,0,,,,
29.84059103,0.622744907,0.054595972,1,,,,
31.50766315,0.568148935,0.025492631,0,,,,
32.76449725,0.542656304,0.054583168,1,,,,
34.00903958,0.488073136,0.032854893,0,5,20,,
38.22050934,0.455218243,0.027387613,0,,,,
42.01175401,0.42783063,0.032073853,0,,,,
80.4489059,0.395756776,0.037144211,1,6,16,,
106.2078591,0.358612566,0.358612566,15,,,,
,,0,-1,,,,
