Time,OS,OS.Diff,,,28,,0.035714286
3.157894737,0.926742532,0.0368263,0,,,,
5.263157895,0.889916232,0.019598546,0,,,,
9.473684211,0.870317686,0.018808282,0,,,,
11.57894737,0.851509404,0.036036036,0,,,,
11.57894737,0.815473368,0.041725936,0,0,23,,
14.73684211,0.773747432,0.067567568,1,,,,
14.73684211,0.706179864,0.041330804,0,,,,
16.84210526,0.66484906,0.078157104,1,,,,
21.05263158,0.586691955,0.041330804,0,,,,
23.15789474,0.545361151,0.041725936,0,2,16,,
26.31578947,0.503635214,0.041330804,0,,,,
28.42105263,0.46230441,0.045045045,0,,,,
28.42105263,0.417259365,0.043701596,0,,,,
36.84210526,0.373557768,0.051367157,0,2,13,,
53.68421053,0.322190612,0.043306464,0,,,,
61.05263158,0.278884147,0.087956377,1,,,,
67.36842105,0.19092777,0.063537221,1,,,,
92.63157895,0.127390548,0.05919077,1,,,,
106.3157895,0.068199779,0.018571203,0,,,,
155.7894737,0.049628576,0.049628576,0,,,,
