Time,OS,OS.Diff,,,651,,0.001835392
3.419045963,0.995862359,0.003725707,1,,,,
4.506549739,0.992136652,0.012477,6,,,,
5.126371967,0.979659652,0.005382595,2,,,,
5.591856537,0.974277057,0.005410057,2,,,,
6.212777254,0.968867,0.012559387,6,,,,
7.298907919,0.956307613,0.015955547,8,,,,
7.607308611,0.940352066,0.005368864,2,,,,
7.995075109,0.934983202,0.003629589,1,,,,
8.538552375,0.931353613,0.0071356,3,,,,
8.926044251,0.924218013,0.012477,6,,,,
9.545866479,0.911741013,0.005368863,2,,,,
9.933632977,0.90637215,0.007190524,3,,,,
10.63199714,0.899181626,0.008888604,4,,,,
10.94149632,0.890293022,0.010696534,5,,,,
11.4838751,0.879596488,0.007135599,3,,,,
11.87136698,0.872460889,0.010682802,5,59,576,,
12.33602768,0.861778087,0.008874873,4,,,,
12.56780879,0.852903214,0.00714933,3,,,,
13.03301874,0.845753884,0.005396326,2,,,,
13.57622138,0.840357558,0.008929797,4,,,,
14.11887478,0.831427761,0.010669071,5,,,,
14.50581741,0.82075869,0.007204255,3,,,,
15.28189965,0.813554435,0.007108137,3,,,,
15.51395538,0.806446298,0.008888604,4,,,,
15.82345456,0.797557694,0.007121869,3,,,,
16.13322837,0.790435825,0.00532767,2,,,,
16.28784065,0.785108155,0.005355132,2,,,,
16.59788907,0.779753023,0.005341401,2,,,,
16.83021942,0.774411622,0.010627878,5,,,,
16.98400784,0.763783744,0.001862853,0,,,,
17.52775972,0.761920891,0.012435808,6,,,,
17.91442773,0.749485083,0.007163061,3,,,,
18.45735575,0.742322022,0.001835392,0,,,,
18.8456715,0.74048663,0.00714933,3,,,,
19.31088145,0.7333373,0.007108137,3,,,,
19.54293718,0.726229163,0.003533472,1,,,,
19.54238793,0.722695691,0.005423788,2,,,,
20.24102672,0.717271903,0.003574665,1,,,,
20.4736317,0.713697238,0.003574665,1,,,,
20.70623667,0.710122573,0.003588396,1,,,,
21.01655972,0.706534177,0.003588397,1,,,,
21.32688276,0.70294578,0.003547203,1,,,,
21.40405159,0.699398577,0.00364332,1,,,,
22.02524693,0.695755257,0.005355133,2,,,,
22.33529536,0.690400124,0.007108137,3,,,,
22.56735109,0.683291987,0.003588396,1,,,,
22.87767413,0.679703591,0.003547203,1,,,,
22.95484296,0.676156388,0.005368863,2,,,,
23.34260946,0.670787525,0.005341401,2,,,,
23.57493981,0.665446124,0.007094406,3,,,,
23.72927747,0.658351718,0.005313939,2,,,,
23.80617168,0.653037779,0.005341401,2,,,,
24.03850203,0.647696378,0.005382595,2,145,453,,
24.5039866,0.642313783,0.007080675,3,,,,
24.58060618,0.635233108,0.003629589,1,,,,
25.12408345,0.631603519,0.007108137,3,,,,
25.35613918,0.624495382,0.007080675,3,,,,
25.43275876,0.617414707,0.005341401,2,,,,
25.66508911,0.612073306,0.003657052,1,,,,
26.36400253,0.608416254,0.005313939,2,,,,
26.44089673,0.603102315,0.007163061,3,,,,
26.98382475,0.595939254,0.005368864,2,,,,
27.37159125,0.59057039,0.01065534,5,,,,
27.68081581,0.57991505,0.005382594,2,,,,
28.14630038,0.574532456,0.008943529,4,,,,
28.76667185,0.565588927,0.007080675,3,,,,
28.84329144,0.558508252,0.010737726,5,,,,
29.61882443,0.547770526,0.003643321,1,,,,
30.24001977,0.544127205,0.001917778,0,,,,
31.09464395,0.542209427,0.003711976,1,,,,
32.10442966,0.538497451,0.007080675,3,,,,
32.18104924,0.531416776,0.003698245,1,,,,
33.11311687,0.527718531,0.007108137,3,,,,
33.3451726,0.520610394,0.007094406,3,,,,
33.49951026,0.513515988,0.007163062,3,,,,
34.04243828,0.506352926,0.007094406,3,,,,
34.19677594,0.49925852,0.003602127,1,,,,
34.58481706,0.495656393,0.00362959,1,,,,
35.12829432,0.492026803,0.003560934,1,,,,
35.28318122,0.488465869,0.007121868,3,,,,
35.59295503,0.481344001,0.008847411,4,,,,
35.66929999,0.47249659,0.008916066,4,,,,
36.13423531,0.463580524,0.010682802,5,221,347,,
36.59889602,0.452897722,0.007108138,3,,,,
36.83095175,0.445789584,0.003629589,1,,,,
37.37442901,0.442159995,0.005410057,2,,,,
37.99534973,0.436749938,0.007135599,3,,,,
38.38284161,0.429614339,0.003588396,1,,,,
38.69316465,0.426025943,0.003602128,1,,,,
39.08120577,0.422423815,0.007176792,3,,,,
39.70185187,0.415247023,0.008861142,4,,,,
39.8559149,0.406385881,0.0071356,3,,,,
40.24340678,0.399250281,0.007121868,3,,,,
40.55318058,0.392128413,0.007204254,3,,,,
41.32926282,0.384924159,0.005327671,2,,,,
41.4838751,0.379596488,0.00714933,3,,,,
41.94908505,0.372447158,0.00362959,1,,,,
42.49256232,0.368817568,0.010792651,5,,,,
43.5789676,0.358024917,0.003835556,1,,,,
45.28821596,0.354189361,0.005670948,2,,,,
47.38578006,0.348518413,0.005313938,2,,,,
47.46267427,0.343204475,0.010929963,5,269,279,,
49.32626029,0.332274512,0.005355132,2,,,,
49.63630871,0.32691938,0.005739603,2,,,,
52.12246318,0.321179777,0.007108137,3,,,,
52.35451891,0.31407164,0.007108137,3,,,,
52.58657464,0.306963503,0.007396491,3,,,,
54.4507099,0.299567012,0.007245448,3,,,,
55.45994636,0.292321564,0.011122197,5,,,,
58.41158539,0.281199367,0.012724161,6,,,,
60.43033293,0.268475206,0.014230005,7,,,,
60.97216247,0.254245201,0.014435972,7,,,,
62.67976309,0.239809229,0.001849122,0,,,,
63.14579691,0.237960107,,,,,,
,,,,,,,
,,0.001835392,,,,,
