Time,OS,OS.Diff,,,21,0.047619048,
0,1,,,,,,
3.186707795,0.951781971,0.048218029,,,,,
4.927566301,0.951781971,0,,,,,
6.518588511,0.902515723,0.049266247,,,,,
7.238978712,0.85115304,0.051362683,,,,,
8.975376597,0.805031447,0.046121593,,,,,
11.77989032,0.80293501,0,15,,,,
13.13389138,0.80293501,0,,,,,
21.2526261,0.748427673,0.054507338,,,,,
22.02066384,0.689727463,0.05870021,,,,,
22.69766437,0.689727463,0,11,,,,
29.55850412,0.628930818,0.060796646,,,,,
32.74987529,0.626834382,0,,,,,
33.42038765,0.559748428,0.067085954,,,,,
35.54120991,0.488469602,0.071278826,7,,,,
38.78114102,0.488469602,0,,,,,
45.11593169,0.488469602,0,5,,,,
56.67329788,0.488469602,0,,,,,
59.52637154,0.488469602,0,3,,,,
