Time,OS,OS.Diff,,,,0.05,
0,1,,,,20,,
10.24685618,0.951781971,0.048218029,,,,,
11.49927675,0.901467505,0.050314465,,,,,
12.26812551,0.85115304,0.050314465,,,17,,
15.16955635,0.85115304,0,,,,,
15.74457087,0.796645702,0.054507338,,,,,
19.12450464,0.744234801,0.052410901,,,,,
22.79965037,0.744234801,0,,,13,,
32.37437215,0.744234801,0,,,12,,
38.84835446,0.683438155,0.060796646,,,,,
40.15379558,0.681341719,0,,,,,
40.96958223,0.616352201,0.064989518,,,,,
45.02499586,0.548218029,0.068134172,,,,,
45.12160885,0.547169811,0,,,7,,
48.50661149,0.547169811,0,,,,,
50.33546588,0.457023061,0.090146751,,,5,,
61.5543318,0.457023061,0,,,,,
62.95669004,0.457023061,,,,,,
