Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Replacement and desmoplastic histopathological growth patterns in cutaneous melanoma liver metastases: frequency, characteristics, and robust prognostic value.","/pubmed/32304183","Barnhill R, van Dam PJ, Vermeulen P, Champenois G, Nicolas A, Rawson RV, Wilmott JS, Thompson JF, Long GV, Cassoux N, Roman-Roman S, Busam KJ, Scolyer RA, Lazar AJ, Lugassy C.","J Pathol Clin Res. 2020 Apr 18. doi: 10.1002/cjp2.161. [Epub ahead of print]","J Pathol Clin Res.  2020","PubMed","citation","PMID:32304183","pubmed","32304183","create date:2020/04/19 | first author:Barnhill R",
"Population-based SEER analysis of survival in colorectal cancer patients with or without resection of lung and liver metastases.","/pubmed/32293337","Siebenhüner AR, Güller U, Warschkow R.","BMC Cancer. 2020 Mar 23;20(1):246. doi: 10.1186/s12885-020-6710-1.","BMC Cancer.  2020","PubMed","citation","PMID:32293337 | PMCID:PMC7092492","pubmed","32293337","create date:2020/04/16 | first author:Siebenhüner AR",
"Total tumour volume as a prognostic factor in patients with resectable colorectal cancer liver metastases.","/pubmed/32277807","Tai K, Komatsu S, Sofue K, Kido M, Tanaka M, Kuramitsu K, Awazu M, Gon H, Tsugawa D, Yanagimoto H, Toyama H, Murakami S, Murakami T, Fukumoto T.","BJS Open. 2020 Apr 11. doi: 10.1002/bjs5.50280. [Epub ahead of print]","BJS Open.  2020","PubMed","citation","PMID:32277807","pubmed","32277807","create date:2020/04/12 | first author:Tai K",
"Impact on operative outcomes of laparoscopic simultaneous resection of colorectal cancer and synchronous liver metastases.","/pubmed/32246587","Kawakatsu S, Ishizawa T, Fujimoto Y, Oba A, Mise Y, Inoue Y, Ito H, Takahashi Y, Ueno M, Saiura A.","Asian J Endosc Surg. 2020 Apr 3. doi: 10.1111/ases.12802. [Epub ahead of print]","Asian J Endosc Surg.  2020","PubMed","citation","PMID:32246587","pubmed","32246587","create date:2020/04/05 | first author:Kawakatsu S",
"Impact of Site-Specific Metastases on Surgical Value and Survival among Metastatic Colorectal Cancer Patients.","/pubmed/32223801","Zong Z, Zhou TC, Tang FX, Tian HK, Wang A, Yi CH.","Am Surg. 2020 Mar 1;86(3):220-227.","Am Surg.  2020","PubMed","citation","PMID:32223801","pubmed","32223801","create date:2020/04/01 | first author:Zong Z",
"Long term control stereotactic body radiotherapy (SBRT) for oligometastatic colorectal cancer: a single center study.","/pubmed/32192350","Gil-Raga M, Meri-Abad M, Safont Aguilera MJ, Hernández Machancoses A, Lobo M, Calabuig-Fariñas S, López Torrecilla J, Camps Herrero C.","Chin Clin Oncol. 2020 Mar 17. pii: cco.2020.01.10. doi: 10.21037/cco.2020.01.10. [Epub ahead of print]","Chin Clin Oncol.  2020","PubMed","citation","PMID:32192350","pubmed","32192350","create date:2020/03/21 | first author:Gil-Raga M",
"Transarterial (chemo)embolisation versus no intervention or placebo for liver metastases.","/pubmed/32163181","Swierz MJ, Storman D, Riemsma RP, Wolff R, Mitus JW, Pedziwiatr M, Kleijnen J, Bala MM.","Cochrane Database Syst Rev. 2020 Mar 12;3:CD009498. doi: 10.1002/14651858.CD009498.pub4. Review.","Cochrane Database Syst Rev.  2020","PubMed","citation","PMID:32163181 | PMCID:PMC7066934","pubmed","32163181","create date:2020/03/13 | first author:Swierz MJ",
"Oncological outcomes of repeat metastasectomy for recurrence after hepatectomy for colorectal liver metastases. A case series.","/pubmed/32153776","Maeda Y, Shinohara T, Minagawa N, Koyama R, Nagatsu A, Shimada S, Hamada T.","Ann Med Surg (Lond). 2020 Jan 22;52:24-30. doi: 10.1016/j.amsu.2020.01.006. eCollection 2020 Apr.","Ann Med Surg (Lond).  2020","PubMed","citation","PMID:32153776 | PMCID:PMC7058849","pubmed","32153776","create date:2020/03/11 | first author:Maeda Y",
"Current state of the art imaging approaches for colorectal liver metastasis.","/pubmed/32140477","Hazhirkarzar B, Khoshpouri P, Shaghaghi M, Ghasabeh MA, Pawlik TM, Kamel IR.","Hepatobiliary Surg Nutr. 2020 Feb;9(1):35-48. doi: 10.21037/hbsn.2019.05.11. Review.","Hepatobiliary Surg Nutr.  2020","PubMed","citation","PMID:32140477 | PMCID:PMC7026783","pubmed","32140477","create date:2020/03/07 | first author:Hazhirkarzar B",
"Impact of RAS mutations on the immune infiltrate of colorectal liver metastases: A preliminary study.","/pubmed/32108374","Polidoro MA, Milana F, Soldani C, Franceschini B, Anselmo A, Colombo FS, Di Tommaso L, Cimino M, Carnevale S, Lleo A, Jaillon S, Torzilli G, Donadon M.","J Leukoc Biol. 2020 Feb 28. doi: 10.1002/JLB.5AB0220-608R. [Epub ahead of print]","J Leukoc Biol.  2020","PubMed","citation","PMID:32108374","pubmed","32108374","create date:2020/02/29 | first author:Polidoro MA",
